px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
129.958	13.7158	2.41145	0.236985	-0.0152095	129.947	13.6963	130.042	13.7853	2.50232	0.621879	0.889523
130.033	13.7236	2.52095	0.215323	-0.0336862	130.334	13.781	130.042	13.7853	2.50232	0.621879	1.31147
132.09	14.5028	2.59857	0.378351	0.0910149	132.092	14.507	132.53	14.458	2.55028	0.74543	0.0629639
132.159	14.5076	2.77879	0.347763	0.0474217	132.447	14.3423	132.53	14.458	2.55028	0.74543	1.08004
135.037	15.0449	3.32959	0.00160114	-0.203585	135.074	15.0475	135.066	15.2513	2.58865	0.863795	1.24188
135.031	15.0329	2.9358	-0.0564489	-0.283184	135.127	14.6575	135.066	15.2513	2.58865	0.863795	0.659684
137.56	16.1977	2.82745	0.621163	0.327342	137.561	16.2147	137.639	16.1592	2.61821	0.974442	1.276
137.59	16.1876	3.16246	0.512442	0.157818	137.653	16.5145	137.639	16.1592	2.61821	0.974442	0.514851
140.319	17.0127	3.14791	0.202825	-0.147844	140.331	17.008	140.242	17.1733	2.63994	1.07503	0.466452
140.322	17.0103	3.07025	0.205875	-0.138619	140.305	17.5379	140.242	17.1733	2.63994	1.07503	0.0842679
142.886	17.9862	3.15718	0.383759	0.0642297	142.888	17.9918	142.868	18.2829	2.65497	1.16346	0.152093
142.839	17.9811	3.09821	0.391357	0.0745117	142.626	18.1458	142.868	18.2829	2.65497	1.16346	0.513681
145.382	19.159	3.28264	0.418173	0.0430946	145.392	19.1617	145.51	19.4754	2.66445	1.23795	0.104278
145.458	19.1701	3.24443	0.426632	0.0787947	145.789	19.3785	145.51	19.4754	2.66445	1.23795	1.73891
148.232	20.4701	3.57029	0.402174	0.0107682	148.251	20.4754	148.163	20.7364	2.66951	1.29702	0.332691
148.21	20.4701	3.23972	0.480234	0.155061	148.146	20.9376	148.163	20.7364	2.66951	1.29702	0.522028
150.675	22.1091	3.45908	0.624421	0.146552	150.686	22.1142	150.825	22.0502	2.67111	1.33953	0.127848
150.664	22.1065	3.48203	0.611541	0.119473	150.649	21.8148	150.825	22.0502	2.67111	1.33953	0.0534712
153.413	23.4934	3.43965	0.400641	-0.092126	153.422	23.4909	153.491	23.3999	2.66999	1.3647	0.245864
153.39	23.4847	3.21892	0.467034	0.0231667	153.466	22.9115	153.491	23.3999	2.66999	1.3647	0.343224
156.035	24.8052	3.41388	0.416966	-0.0244483	156.047	24.8084	156.159	24.7682	2.66666	1.37208	0.132744
156.022	24.8061	3.0792	0.483616	0.101682	156.009	25.0678	156.159	24.7682	2.66666	1.37208	0.47388
158.876	26.023	3.54514	0.308648	-0.0782945	158.905	26.0308	158.827	26.1372	2.66127	1.36157	0.83135
158.895	26.0241	3.32679	0.327485	-0.0286358	159.014	26.1903	158.827	26.1372	2.66127	1.36157	0.492893
161.412	27.4219	3.37861	0.538924	0.124191	161.412	27.4256	161.493	27.4891	2.65371	1.33344	0.0816633
161.441	27.4321	3.20393	0.587345	0.212895	161.529	27.8454	161.493	27.4891	2.65371	1.33344	0.455512
163.629	28.7758	2.98028	0.564787	0.0632316	163.625	28.7683	164.155	28.8064	2.64354	1.28825	0.140784
163.74	28.7938	3.11903	0.527293	0.025105	164.116	29.315	164.155	28.8064	2.64354	1.28825	2.96416
166.783	30.1921	3.88103	0.297826	-0.142395	166.828	30.2062	166.809	30.0721	2.63006	1.22694	1.67873
166.724	30.1738	3.30912	0.37458	-0.00202343	166.748	29.7121	166.809	30.0721	2.63006	1.22694	1.78753
169.102	31.3715	3.24461	0.475515	0.0639753	169.097	31.3717	169.452	31.2706	2.61238	1.15075	0.0373886
169.121	31.3765	3.12316	0.497517	0.1065	169.345	30.7063	169.452	31.2706	2.61238	1.15075	0.201224
172.143	32.3341	3.57133	0.148772	-0.188263	172.175	32.3404	172.079	32.3873	2.58945	1.06126	1.09551
172.136	32.3214	3.16091	0.115859	-0.226788	172.135	32.6666	172.079	32.3873	2.58945	1.06126	0.749494
174.646	33.4522	3.11062	0.5061	0.167577	174.643	33.4625	174.685	33.4095	2.56021	0.960341	0.530985
174.628	33.4527	2.96804	0.534849	0.212636	174.474	33.9157	174.685	33.4095	2.56021	0.960341	0.115861
177.026	34.2091	2.82228	0.257075	-0.10371	177.03	34.2009	177.261	34.3262	2.52363	0.850119	0.389108
177.041	34.2079	2.70779	0.249569	-0.102171	177.211	33.8467	177.261	34.3262	2.52363	0.850119	0.20059
180.111	35.1341	3.36491	0.283029	-0.0160525	180.145	35.1423	179.799	35.1289	2.47883	0.732949	1.56574
180.004	35.1173	2.82134	0.328664	0.0484235	179.543	35.4767	179.799	35.1289	2.47883	0.732949	2.83581
182.587	35.7529	3.03207	0.168165	-0.0838126	182.599	35.753	182.292	35.8114	2.42515	0.611338	0.238753
182.498	35.7338	2.68314	0.168697	-0.0887972	182.047	36.2626	182.292	35.8114	2.42515	0.611338	1.91165
184.729	36.509	2.75197	0.397692	0.111965	184.732	36.5155	184.73	36.37	2.36226	0.487877	0.151857
184.728	36.5137	2.48633	0.437312	0.171	184.833	36.1451	184.73	36.37	2.36226	0.487877	0.218591
186.934	36.9461	2.56318	0.0873905	-0.158483	186.946	36.9404	187.103	36.804	2.29017	0.365145	0.43237
